"Date","Unique Sellers"
"2021-02-13",720
"2021-02-14",741
"2021-02-15",749
"2021-02-16",757
"2021-02-17",792
"2021-02-18",812
"2021-02-19",833
"2021-02-20",860
"2021-02-21",902
"2021-02-22",928
"2021-02-23",939
"2021-02-24",955
"2021-02-25",957
"2021-02-26",962
"2021-02-27",964
"2021-02-28",967
"2021-03-01",975
"2021-03-02",983
"2021-03-03",988
"2021-03-04",994
"2021-03-05",1004
"2021-03-06",1005
"2021-03-07",1013
"2021-03-08",1024
"2021-03-09",1028
"2021-03-10",1034
"2021-03-11",1060
"2021-03-12",1081
"2021-03-13",1096
"2021-03-14",1107
"2021-03-15",1118
"2021-03-16",1130
"2021-03-17",1139
"2021-03-18",1149
"2021-03-19",1160
"2021-03-20",1166
"2021-03-21",1184
"2021-03-22",1188
"2021-03-23",1193
"2021-03-24",1196
"2021-03-25",1198
"2021-03-26",1200
"2021-03-27",1207
"2021-03-28",1213
"2021-03-29",1214
"2021-03-30",1220
"2021-03-31",1227
"2021-04-01",1234
"2021-04-02",1238
"2021-04-03",1241
"2021-04-04",1246
"2021-04-05",1254
"2021-04-06",1264
"2021-04-07",1272
"2021-04-08",1307
"2021-04-09",1317
