"Date","Unique Buyers"
"2020-07-02",649
"2020-07-03",649
"2020-07-04",649
"2020-07-05",649
"2020-07-06",650
"2020-07-07",652
"2020-07-08",652
"2020-07-09",654
"2020-07-10",654
"2020-07-11",657
"2020-07-12",658
"2020-07-13",658
"2020-07-14",658
"2020-07-15",659
"2020-07-16",659
"2020-07-17",660
"2020-07-18",660
"2020-07-19",661
"2020-07-20",662
"2020-07-21",662
"2020-07-22",663
"2020-07-23",664
"2020-07-24",664
"2020-07-25",665
"2020-07-26",665
"2020-07-27",665
"2020-07-28",666
"2020-07-29",666
"2020-07-30",667
"2020-07-31",670
"2020-08-01",671
"2020-08-02",671
"2020-08-03",672
"2020-08-04",673
"2020-08-05",674
"2020-08-06",675
"2020-08-07",678
"2020-08-08",678
"2020-08-09",679
"2020-08-10",679
"2020-08-11",679
"2020-08-12",680
"2020-08-13",680
"2020-08-14",680
"2020-08-15",680
"2020-08-16",682
"2020-08-17",682
"2020-08-18",682
"2020-08-19",682
"2020-08-20",682
"2020-08-21",683
"2020-08-22",684
"2020-08-23",685
"2020-08-24",686
"2020-08-25",688
"2020-08-26",691
"2020-08-27",692
"2020-08-28",692
"2020-08-29",692
"2020-08-30",692
"2020-08-31",693
"2020-09-01",693
"2020-09-02",693
"2020-09-03",693
"2020-09-04",694
"2020-09-05",694
"2020-09-06",697
"2020-09-07",701
"2020-09-08",703
"2020-09-09",706
"2020-09-10",711
"2020-09-11",724
"2020-09-12",728
"2020-09-13",735
"2020-09-14",741
"2020-09-15",751
"2020-09-16",754
"2020-09-17",756
"2020-09-18",762
"2020-09-19",764
"2020-09-20",782
"2020-09-21",786
"2020-09-22",797
"2020-09-23",809
"2020-09-24",828
"2020-09-25",843
"2020-09-26",856
"2020-09-27",865
"2020-09-28",895
"2020-09-29",901
"2020-09-30",905
"2020-10-01",905
"2020-10-02",912
"2020-10-03",917
"2020-10-04",920
"2020-10-05",924
"2020-10-06",925
"2020-10-07",928
"2020-10-08",936
"2020-10-09",940
"2020-10-10",941
"2020-10-11",943
"2020-10-12",947
"2020-10-13",948
"2020-10-14",950
"2020-10-15",953
"2020-10-16",955
"2020-10-17",956
"2020-10-18",957
"2020-10-19",958
"2020-10-20",960
"2020-10-21",962
"2020-10-22",962
"2020-10-23",965
"2020-10-24",966
"2020-10-25",970
"2020-10-26",971
"2020-10-27",971
"2020-10-28",971
"2020-10-29",972
"2020-10-30",973
"2020-10-31",974
"2020-11-01",975
"2020-11-02",975
"2020-11-03",975
"2020-11-04",975
"2020-11-05",976
"2020-11-06",976
"2020-11-07",978
"2020-11-08",978
"2020-11-09",978
"2020-11-10",978
"2020-11-11",978
"2020-11-12",980
"2020-11-13",980
"2020-11-14",983
"2020-11-15",985
"2020-11-16",985
"2020-11-17",985
"2020-11-18",989
"2020-11-19",991
"2020-11-20",993
"2020-11-21",994
"2020-11-22",995
"2020-11-23",998
"2020-11-24",998
"2020-11-25",998
"2020-11-26",999
"2020-11-27",999
"2020-11-28",999
"2020-11-29",1000
"2020-11-30",1001
"2020-12-01",1001
"2020-12-02",1001
"2020-12-03",1003
"2020-12-04",1003
"2020-12-05",1004
"2020-12-06",1004
"2020-12-07",1006
"2020-12-08",1006
"2020-12-09",1006
"2020-12-10",1006
"2020-12-11",1008
"2020-12-12",1009
"2020-12-13",1010
"2020-12-14",1011
"2020-12-15",1011
"2020-12-16",1011
"2020-12-17",1012
"2020-12-18",1014
"2020-12-19",1014
"2020-12-20",1014
"2020-12-21",1015
"2020-12-22",1022
"2020-12-23",1027
"2020-12-24",1028
"2020-12-25",1030
"2020-12-26",1034
"2020-12-27",1037
"2020-12-28",1041
"2020-12-29",1046
"2020-12-30",1050
"2020-12-31",1061
"2021-01-01",1061
"2021-01-02",1063
"2021-01-03",1063
"2021-01-04",1065
"2021-01-05",1069
"2021-01-06",1074
"2021-01-07",1079
"2021-01-08",1085
"2021-01-09",1089
"2021-01-10",1093
"2021-01-11",1096
"2021-01-12",1098
"2021-01-13",1103
"2021-01-14",1106
"2021-01-15",1107
"2021-01-16",1108
"2021-01-17",1109
"2021-01-18",1113
"2021-01-19",1113
"2021-01-20",1114
"2021-01-21",1118
"2021-01-22",1119
"2021-01-23",1129
"2021-01-24",1138
"2021-01-25",1145
"2021-01-26",1157
"2021-01-27",1176
"2021-01-28",1180
"2021-01-29",1183
"2021-01-30",1188
"2021-01-31",1191
"2021-02-01",1200
"2021-02-02",1204
"2021-02-03",1214
"2021-02-04",1216
"2021-02-05",1223
"2021-02-06",1229
"2021-02-07",1232
"2021-02-08",1242
"2021-02-09",1257
"2021-02-10",1262
"2021-02-11",1272
"2021-02-12",1277
"2021-02-13",1305
"2021-02-14",1352
"2021-02-15",1382
"2021-02-16",1414
"2021-02-17",1460
"2021-02-18",1498
"2021-02-19",1526
"2021-02-20",1554
"2021-02-21",1608
"2021-02-22",1660
"2021-02-23",1687
"2021-02-24",1701
"2021-02-25",1715
"2021-02-26",1723
"2021-02-27",1736
"2021-02-28",1753
"2021-03-01",1772
"2021-03-02",1789
"2021-03-03",1803
"2021-03-04",1820
"2021-03-05",1835
"2021-03-06",1842
"2021-03-07",1854
"2021-03-08",1865
"2021-03-09",1872
"2021-03-10",1881
"2021-03-11",1927
"2021-03-12",1969
"2021-03-13",1997
"2021-03-14",2020
"2021-03-15",2042
"2021-03-16",2059
"2021-03-17",2074
"2021-03-18",2086
"2021-03-19",2101
"2021-03-20",2105
"2021-03-21",2130
"2021-03-22",2139
"2021-03-23",2153
"2021-03-24",2163
"2021-03-25",2170
"2021-03-26",2178
"2021-03-27",2194
"2021-03-28",2206
"2021-03-29",2212
"2021-03-30",2237
"2021-03-31",2250
